"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","V1"
"3929","ENSFALG00000017895",2.95935556392228e-33,0.414136866671016,0.52,0.258,8.87806669176684e-30,"2","ENSFALG00000017895"
"3930","ENSFALG00000018230",8.08249093934668e-73,3.99568080730032,0.675,0.145,2.424747281804e-69,"2","ENSFALG00000018230"
"3931","ENSFALG00000018230",3.75096386811866e-44,2.75727749800571,0.761,0.178,1.1252891604356e-40,"14","ENSFALG00000018230"
"3932","ENSFALG00000018243",1.75536489297124e-65,0.850314326964515,0.708,0.224,5.26609467891371e-62,"2","ENSFALG00000018243"
"3933","ENSFALG00000018243",5.34316003533154e-125,2.81745942832748,0.815,0.194,1.60294801059946e-121,"1","ENSFALG00000018243"
"3934","ENSFALG00000018243",4.87359748160215e-112,1.98683513701816,0.966,0.223,1.46207924448065e-108,"5","ENSFALG00000018243"
"3935","ENSFALG00000018250",4.53462718843914e-35,1.24209307087053,0.599,0.324,1.36038815653174e-31,"4","ENSFALG00000018250"
"3936","ENSFALG00000018250",1.13249571325915e-82,5.81323730240318,0.986,0.322,3.39748713977744e-79,"12","ENSFALG00000018250"
"3937","ENSFALG00000018334",5.84601571142192e-30,2.42330203929843,0.761,0.301,1.75380471342658e-26,"14","ENSFALG00000018334"
"3938","ENSFALG00000018334",2.48085703973712e-69,6.39911163413245,1,0.295,7.44257111921136e-66,"15","ENSFALG00000018334"
"3939","ENSFALG00000018334",2.40313997405344e-18,0.259550983310525,0.61,0.303,7.20941992216033e-15,"13","ENSFALG00000018334"
"3940","ENSFALG00000018566",4.21897182816316e-54,1.33239505192047,0.782,0.359,1.26569154844895e-50,"4","ENSFALG00000018566"
"3941","ENSFALG00000018566",3.7037592769285e-54,1.59019992078214,0.951,0.368,1.11112778307855e-50,"11","ENSFALG00000018566"
"3942","ENSFALG00000018566",1.24242645934924e-28,0.648927337482622,0.796,0.371,3.72727937804773e-25,"10","ENSFALG00000018566"
"3943","ENSFALG00000018566",1.07315234094507e-61,0.822490567777004,0.867,0.359,3.21945702283521e-58,"5","ENSFALG00000018566"
"3944","ENSFALG00000018566",7.47482152182973e-50,1.32175468678573,0.965,0.37,2.24244645654892e-46,"12","ENSFALG00000018566"
"3945","ENSFALG00000018566",6.65302072106876e-63,1.73114931742925,0.694,0.349,1.99590621632063e-59,"1","ENSFALG00000018566"
"3946","ENSFALG00000018578",1.38775449077161e-51,6.09331598636736,0.78,0.149,4.16326347231483e-48,"14","ENSFALG00000018578"
"3947","ENSFALG00000018578",1.67479273081174e-29,1.44156725737998,0.713,0.151,5.02437819243521e-26,"15","ENSFALG00000018578"
"3948","ENSFALG00000018581",2.22843476663757e-34,8.90742132946682,0.981,0.114,6.68530429991271e-31,"17","ENSFALG00000018581"
"3949","ENSFALG00000018581",4.42741168390184e-146,0.510478091320373,0.74,0.07,1.32822350517055e-142,"3","ENSFALG00000018581"
"3950","ENSFALG00000018612",4.08253239894106e-114,2.47416363775024,0.745,0.139,1.22475971968232e-110,"3","ENSFALG00000018612"
