"","Gene_name","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster"
"160","ENSFALG00000021565",0.927,1.76777831719389,0.854,2.55036501160666,1,0.381,11
"161","ENSFALG00000001015",0.988,3.83831898711038,0.976,5.5375237680541,1,0.289,10
"162","TSSK6",0.968,3.12543964682262,0.936,4.50905627906875,1,0.346,10
"163","HK3",0.967,2.73221060070403,0.934,3.94174668429996,0.99,0.229,10
"164","ENSFALG00000009966",0.959,2.3089646895014,0.918,3.3311319071314,0.985,0.317,10
"165","ENSFALG00000006405",0.958,2.82057633764025,0.916,4.06923149476234,0.995,0.315,10
"166","ENSFALG00000014096",0.94,0.749148478913584,0.88,1.08079279541814,1,0.228,10
"167","SPCS2",0.935,2.15669880498982,0.87,3.11145867064997,0.985,0.277,10
"168","TCTN1",0.931,1.51123846351283,0.862,2.18025623691062,0.974,0.25,10
"169","MRPL51",0.93,0.636395777926951,0.86,0.918125032857885,0.985,0.236,10
"170","ENSFALG00000006749",0.923,2.09380337226149,0.846,3.02071974175825,0.974,0.337,10
"171","MRPL51",0.992,4.48427533742597,0.984,6.46944179128513,1,0.229,7
"172","ENSFALG00000005595",0.988,4.57681529891296,0.976,6.60294873480646,0.996,0.278,7
"173","ENSFALG00000015904",0.984,4.84366487333236,0.968,6.98793129248466,0.996,0.228,7
"174","ENSFALG00000004469",0.968,2.97775693991728,0.936,4.29599517019136,0.996,0.282,7
"175","ENSFALG00000009009",0.963,4.66223547660291,0.926,6.7261840015516,0.965,0.248,7
"176","ENSFALG00000014096",0.962,4.42654725108069,0.924,6.38615776739478,0.957,0.224,7
"177","ABHD17A",0.957,3.57974468688589,0.914,5.16447990741889,0.983,0.301,7
"178","ENSFALG00000013045",0.957,4.22007567122471,0.914,6.08828224305206,0.978,0.294,7
"179","YOD1",0.953,3.78433939172584,0.906,5.45964767348362,0.97,0.294,7
"180","YPEL5",0.948,3.79751560517228,0.896,5.4786569312805,0.961,0.295,7
